Symbol
RELIANCE.NS
HDFCBANK.NS
INFY.NS
AMBER.NS
BSE.NS
POLICYBZR.NS
DIXON.NS
VOLTAS.NS
COFORGE.NS
TMPV.NS
ETERNAL.NS
TCS.NS
ICICIBANK.NS
RVNL.NS
TRENT.NS
MCX.NS
CDSL.NS
BHARTIARTL.NS
CIPLA.NS
IDEA.NS
SBIN.NS
BAJAJ-AUTO.NS
SUZLON.NS
ADANIPOWER.NS
VEDL.NS
BHEL.NS
M&M.NS
BAJFINANCE.NS
ADANIENT.NS
CUMMINSIND.NS
PGEL.NS
LT.NS
INOXWIND.NS
ADANIPORTS.NS
ASHOKLEY.NS
YESBANK.NS
BEL.NS
EICHERMOT.NS
GVT&D.NS
ABCAPITAL.NS
AUROPHARMA.NS
WAAREEENER.NS
BDL.NS
LICI.NS
NBCC.NS
KAYNES.NS
PERSISTENT.NS
OFSS.NS
MAZDOCK.NS
SWIGGY.NS
VBL.NS
POWERINDIA.NS
LAURUSLABS.NS
HCLTECH.NS
PAGEIND.NS
SONACOMS.NS
SAIL.NS
JIOFIN.NS
CGPOWER.NS
HAL.NS
DELHIVERY.NS
BHARATFORG.NS
TATASTEEL.NS
INDHOTEL.NS
RBLBANK.NS
HINDALCO.NS
POWERGRID.NS
INDIGO.NS
POLYCAB.NS
JUBLFOOD.NS
ONGC.NS
WIPRO.NS
TECHM.NS
ITC.NS
BLUESTARCO.NS
AXISBANK.NS
HINDPETRO.NS
RECLTD.NS
NYKAA.NS
ADANIGREEN.NS
FORCEMOT.NS
NATIONALUM.NS
NHPC.NS
TATAPOWER.NS
COCHINSHIP.NS
MARUTI.NS
BPCL.NS
INDUSINDBK.NS
SOLARINDS.NS
CANBK.NS
ANGELONE.NS
IOC.NS
ASIANPAINT.NS
KOTAKBANK.NS
MOTHERSON.NS
MUTHOOTFIN.NS
BAJAJHLDNG.NS
SHRIRAMFIN.NS
PFC.NS
HEROMOTOCO.NS
MAXHEALTH.NS
SUNPHARMA.NS
UNIONBANK.NS
NTPC.NS
ICICIPRULI.NS
IDFCFIRSTB.NS
ULTRACEMCO.NS
TORNTPHARM.NS
CONCOR.NS
LTM.NS
LUPIN.NS
KEI.NS
ADANIENSOL.NS
SAMMAANCAP.NS
RADICO.NS
DLF.NS
TVSMOTOR.NS
BOSCHLTD.NS
TITAN.NS
COALINDIA.NS
KALYANKJIL.NS
MARICO.NS
KPITTECH.NS
PNB.NS
SRF.NS
TATAELXSI.NS
HDFCLIFE.NS
PRESTIGE.NS
MPHASIS.NS
APOLLOHOSP.NS
AMBUJACEM.NS
BANKINDIA.NS
NESTLEIND.NS
IRFC.NS
FEDERALBNK.NS
ABB.NS
BANKBARODA.NS
JSWENERGY.NS
ZYDUSLIFE.NS
HINDZINC.NS
GMRAIRPORT.NS
BAJAJFINSV.NS
NMDC.NS
HINDUNILVR.NS
BANDHANBNK.NS
UNITDSPR.NS
CHOLAFIN.NS
PIDILITIND.NS
PREMIERENE.NS
OIL.NS
KFINTECH.NS
MANAPPURAM.NS
PAYTM.NS
DIVISLAB.NS
HAVELLS.NS
IREDA.NS
ICICIGI.NS
ALKEM.NS
BIOCON.NS
DRREDDY.NS
UPL.NS
HDFCAMC.NS
TATACONSUM.NS
CAMS.NS
JINDALSTEL.NS
INDUSTOWER.NS
GLENMARK.NS
SBICARD.NS
DALBHARAT.NS
PATANJALI.NS
SBILIFE.NS
DMART.NS
AUBANK.NS
SIEMENS.NS
GRASIM.NS
LODHA.NS
LTF.NS
BRITANNIA.NS
UNOMINDA.NS
GODREJPROP.NS
IEX.NS
JSWSTEEL.NS
NUVAMA.NS
NAUKRI.NS
MOTILALOFS.NS
INDIANB.NS
SUPREMEIND.NS
MFSL.NS
HYUNDAI.NS
GODFRYPHLP.NS
VMM.NS
GODREJCP.NS
TIINDIA.NS
EXIDEIND.NS
NAM-INDIA.NS
GAIL.NS
FORTIS.NS
APLAPOLLO.NS
PHOENIXLTD.NS
360ONE.NS
PETRONET.NS
COLPAL.NS
PNBHOUSING.NS
LICHSGFIN.NS
PIIND.NS
ASTRAL.NS
DABUR.NS
MANKIND.NS
CROMPTON.NS
OBEROIRLTY.NS
SHREECEM.NS
